crop,district_code,improved_seed,inorganic_fert,organic_fert,irrigated,mean_yield_kg_ha,ci_low,ci_high,n_plots,reliability
maize,41.0,False,True,False,True,1104.5405919954374,1071.7955262471073,1140.3622177516922,186,ok
maize,41.0,False,True,True,False,991.8136200625797,962.9623985217978,1021.8257892467456,186,ok
maize,41.0,False,True,True,True,1249.9109504264131,1217.9489683491377,1279.904146527418,186,ok
maize,41.0,True,False,False,False,647.276390998252,623.2607930383831,668.370444000914,186,ok
maize,41.0,True,False,False,True,912.8072413665744,882.2900020778194,943.7451611977597,186,ok
maize,41.0,True,False,True,False,837.5719160264814,809.368859448212,866.6995838609795,186,ok
maize,41.0,True,False,True,True,1098.4777162201513,1065.5413768737135,1138.8536140535352,186,ok
maize,41.0,True,True,False,False,1047.2691042948663,1015.142866285063,1079.005547346418,186,ok
maize,41.0,True,True,False,True,1464.9026629561,1415.1495259933358,1507.5757799094226,186,ok
maize,41.0,True,True,True,False,1261.3938601443106,1227.780585253644,1297.337887754307,186,ok
