nisr_district_code,district_name,ndvi_mean,ndvi_peak,rainfall_mm,year,season,lead_months
41,Rulindo,0.5713812711853498,0.7134861157939439,270.334677313549,2022,B,2
22,Gisagara,0.6466631310233947,0.7461427887610556,330.8158504976444,2022,B,2
24,Huye,0.5691672268503062,0.7014218366555882,330.7394232419559,2022,B,2
28,Kamonyi,0.5750355561619889,0.7036557272376915,266.4025008505299,2022,B,2
27,Muhanga,0.5385226446892714,0.7030785242898162,251.05941538252105,2022,B,2
25,Nyamagabe,0.4882388426242213,0.7021392745348013,300.9703645691906,2022,B,2
21,Nyanza,0.6046366249953449,0.7136700661140919,294.3793143737943,2022,B,2
23,Nyaruguru,0.5339076568565921,0.7505470805972846,340.4731590484363,2022,B,2
26,Ruhango,0.5688607679456861,0.7012384596233274,282.63750562272395,2022,B,2
31,Karongi,0.5657248342406758,0.7245947922392784,258.461951204896,2022,B,2
35,Ngororero,0.5568034488204564,0.7072465402097062,246.74289418350955,2022,B,2
34,Nyabihu,0.5277032887015783,0.7165657354689697,255.68334270523908,2022,B,2
37,Nyamasheke,0.6273996390261319,0.7888468813298772,302.8779794298343,2022,B,2
33,Rubavu,0.5656558195819119,0.7317497283439328,220.50668862931937,2022,B,2
36,Rusizi,0.6318493223704975,0.8023018586560433,312.0882072874166,2022,B,2
32,Rutsiro,0.5349050448499603,0.7123692495601432,231.49856487487324,2022,B,2
57,Bugesera,0.5752374000133033,0.6827453827835883,343.7891472261343,2022,B,3
53,Gatsibo,0.6481119443951234,0.7456119909765646,399.0766257405834,2022,B,3
54,Kayonza,0.6023111043431847,0.7128605567029084,422.41490230007633,2022,B,3
55,Kirehe,0.6260058944525345,0.7532553539621253,398.4730842890741,2022,B,3
56,Ngoma,0.6338136374448566,0.7372173800839663,390.2386550501697,2022,B,3
52,Nyagatare,0.6545661176401911,0.7528877237618933,331.74099698771425,2022,B,3
51,Rwamagana,0.6371844878583078,0.7413118254389972,391.7669824746769,2022,B,3
12,Gasabo,0.569944526354091,0.6912300261718762,385.5285768627146,2022,B,3
13,Kicukiro,0.5369975957025649,0.6332596508455294,373.9772457012603,2022,B,3
11,Nyarugenge,0.5591700379519443,0.6726809360457638,389.53362221748256,2022,B,3
44,Burera,0.5203602680905917,0.6917812900950625,437.4709952538504,2022,B,3
42,Gakenke,0.5698810696640175,0.7375922057392349,424.95118126233245,2022,B,3
45,Gicumbi,0.628244207519893,0.7501827649533973,414.05822803877584,2022,B,3
43,Musanze,0.4805128559525085,0.6997251993691074,456.56954931213966,2022,B,3
41,Rulindo,0.5828634449577673,0.7331526654827331,418.76270971964897,2022,B,3
22,Gisagara,0.6497501611480978,0.7518733148970009,458.7453124555279,2022,B,3
24,Huye,0.5885411592867097,0.7283714918724569,483.4782008414253,2022,B,3
28,Kamonyi,0.5822606385560156,0.71434873570297,385.5591928356079,2022,B,3
27,Muhanga,0.5472120920315606,0.719391334256297,385.6927810535392,2022,B,3
25,Nyamagabe,0.508319773034524,0.7296080078767321,457.9287473190864,2022,B,3
21,Nyanza,0.6112486940450267,0.7227821120204104,427.5671643596052,2022,B,3
23,Nyaruguru,0.5364407474956677,0.7670947702443315,475.2760554546384,2022,B,3
26,Ruhango,0.5733909585165905,0.7097824679901863,401.82587382850886,2022,B,3
31,Karongi,0.5940491287521148,0.7487603425559153,393.2210858251101,2022,B,3
35,Ngororero,0.5650884004907973,0.7261898540463126,398.5782274430345,2022,B,3
34,Nyabihu,0.5405003184312154,0.7405713528542197,434.1514881715474,2022,B,3
37,Nyamasheke,0.6313119411740051,0.8007486511769369,473.583059125147,2022,B,3
33,Rubavu,0.57883065874803,0.7665952707017583,357.23682122139934,2022,B,3
36,Rusizi,0.6391860922649816,0.8156186313845429,454.0247421731407,2022,B,3
32,Rutsiro,0.5556061350450576,0.75366680380028,371.2906340746677,2022,B,3
57,Bugesera,0.5547074281301172,0.6839832549104506,351.76132139622626,2022,B,4
53,Gatsibo,0.6275300352877115,0.7458772576860752,406.2048386325407,2022,B,4
54,Kayonza,0.5772065103255434,0.7134906448046909,427.4706842118199,2022,B,4
55,Kirehe,0.6096761438806282,0.7538332469810298,403.27629789142094,2022,B,4
